Name,Year,Duration,Category,Rating,Votes
29. Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6, (1.5M)
30. Back to the Future,1985,1h 56m,PG,8.5, (1.4M)
31. Spirited Away,2001,2h 4m,PG,8.6, (913K)
32. The Pianist,2002,2h 30m,R,8.5, (970K)
33. Gladiator,2000,2h 35m,R,8.5, (1.8M)
34. Parasite,2019,2h 12m,R,8.5, (1.1M)
35. Psycho,1960,1h 49m,R,8.5, (754K)
36. The Lion King,1994,1h 28m,G,8.5, (1.2M)
37. Grave of the Fireflies,1988,1h 28m,Not Rated,8.5, (351K)
38. The Departed,2006,2h 31m,R,8.5, (1.5M)
39. Whiplash,2014,1h 46m,R,8.5, (1.1M)
40. Harakiri,1962,2h 13m,Not Rated,8.6, (80K)
41. The Prestige,2006,2h 10m,PG-13,8.5, (1.5M)
42. American History X,1998,1h 59m,R,8.5, (1.2M)
43. Léon: The Professional,1994,1h 50m,R,8.5, (1.3M)
44. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.5, (458K)
45. Casablanca,1942,1h 42m,PG,8.5, (633K)
46. The Usual Suspects,1995,1h 46m,R,8.5, (1.2M)
47. The Intouchables,2011,1h 52m,R,8.5, (980K)
48. Cinema Paradiso,1988,2h 54m,PG,8.5, (302K)
49. Alien,1979,1h 57m,R,8.5, (1M)
50. Modern Times,1936,1h 27m,G,8.5, (274K)
51. Rear Window,1954,1h 52m,PG,8.5, (547K)
52. Once Upon a Time in the West,1968,2h 46m,PG-13,8.5, (369K)
53. Django Unchained,2012,2h 45m,R,8.5, (1.8M)
54. City Lights,1931,1h 27m,G,8.5, (207K)
55. Apocalypse Now,1979,2h 27m,R,8.4, (743K)
56. Dune: Part Two,2024,2h 46m,PG-13,8.5, (635K)
57. WALL·E,2008,1h 38m,G,8.4, (1.3M)
58. Memento,2000,1h 53m,R,8.4, (1.4M)
59. Raiders of the Lost Ark,1981,1h 55m,PG,8.4, (1.1M)
60. The Lives of Others,2006,2h 17m,R,8.4, (428K)
61. Avengers: Infinity War,2018,2h 29m,PG-13,8.4, (1.3M)
62. Sunset Boulevard,1950,1h 50m,Approved,8.4, (249K)
63. Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4, (733K)
64. Witness for the Prosecution,1957,1h 56m,Approved,8.4, (150K)
65. Paths of Glory,1957,1h 28m,Approved,8.4, (226K)
66. The Shining,1980,2h 26m,R,8.4, (1.2M)
67. The Great Dictator,1940,2h 5m,G,8.4, (249K)
68. 12th Fail,2023,2h 27m,N/A,8.7, (149K)
69. Inglourious Basterds,2009,2h 33m,R,8.4, (1.7M)
70. Aliens,1986,2h 17m,R,8.4, (810K)
71. The Dark Knight Rises,2012,2h 44m,PG-13,8.4, (1.9M)
72. Coco,2017,1h 45m,PG,8.4, (652K)
73. Amadeus,1984,2h 40m,PG,8.4, (449K)
74. Toy Story,1995,1h 21m,G,8.3, (1.1M)
75. Avengers: Endgame,2019,3h 1m,PG-13,8.4, (1.4M)
76. Good Will Hunting,1997,2h 6m,R,8.3, (1.1M)
77. Oldboy,2003,2h,R,8.3, (681K)
78. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.3, (539K)
79. Das Boot,1981,2h 29m,N/A,8.4, (280K)
80. Braveheart,1995,2h 58m,R,8.3, (1.1M)
81. American Beauty,1999,2h 2m,R,8.3, (1.3M)
82. Princess Mononoke,1997,2h 13m,PG-13,8.3, (461K)
83. High and Low,1963,2h 23m,Not Rated,8.4, (61K)
84. Your Name.,2016,1h 46m,N/A,8.4, (359K)
85. 3 Idiots,2009,2h 50m,PG-13,8.4, (460K)
86. Joker,2019,2h 2m,R,8.3, (1.6M)
87. Once Upon a Time in America,1984,3h 49m,R,8.3, (396K)
88. Capernaum,2018,2h 6m,R,8.4, (117K)
89. Singin' in the Rain,1952,1h 43m,G,8.3, (273K)
90. Come and See,1985,2h 22m,Not Rated,8.3, (112K)
91. Requiem for a Dream,2000,1h 42m,NC-17,8.3, (940K)
92. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3, (1.2M)
93. Toy Story 3,2010,1h 43m,G,8.3, (933K)
94. The Hunt,2012,1h 55m,R,8.3, (389K)
95. Ikiru,1952,2h 23m,Not Rated,8.3, (97K)
96. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3, (1.1M)
97. The Chaos Class Failed the Class,1975,1h 35m,N/A,8.7, (27K)
98. 2001: A Space Odyssey,1968,2h 29m,G,8.3, (755K)
99. Incendies,2010,2h 11m,R,8.3, (229K)
100. Reservoir Dogs,1992,1h 39m,R,8.3, (1.1M)
101. The Apartment,1960,2h 5m,Approved,8.3, (209K)
102. Lawrence of Arabia,1962,3h 47m,PG,8.3, (330K)
103. Scarface,1983,2h 50m,R,8.3, (968K)
104. Double Indemnity,1944,1h 47m,Approved,8.3, (175K)
105. Heat,1995,2h 50m,R,8.3, (760K)
106. North by Northwest,1959,2h 16m,Approved,8.3, (361K)
107. Up,2009,1h 36m,PG,8.3, (1.2M)
108. Citizen Kane,1941,1h 59m,PG,8.3, (482K)
109. M,1931,1h 39m,Passed,8.3, (177K)
110. Full Metal Jacket,1987,1h 56m,R,8.2, (823K)
111. Vertigo,1958,2h 8m,PG,8.2, (446K)
112. Amélie,2001,2h 2m,R,8.3, (819K)
113. A Separation,2011,2h 3m,PG-13,8.3, (270K)
114. Like Stars on Earth,2007,2h 42m,PG,8.3, (218K)
115. To Kill a Mockingbird,1962,2h 9m,Approved,8.3, (344K)
116. A Clockwork Orange,1971,2h 16m,R,8.2, (913K)
117. Die Hard,1988,2h 12m,R,8.2, (991K)
118. The Sting,1973,2h 9m,PG,8.2, (291K)
119. Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2, (840K)
120. Oppenheimer,2023,3h,R,8.3, (896K)
121. Metropolis,1927,2h 33m,Not Rated,8.3, (195K)
122. Snatch,2000,1h 42m,R,8.2, (947K)
123. 1917,2019,1h 59m,R,8.2, (730K)
124. L.A. Confidential,1997,2h 18m,R,8.2, (642K)
125. Bicycle Thieves,1948,1h 29m,Not Rated,8.2, (186K)
126. Downfall,2004,2h 36m,R,8.2, (389K)
127. Dangal,2016,2h 41m,Not Rated,8.3, (227K)
128. The Wolf of Wall Street,2013,3h,R,8.2, (1.7M)
129. Hamilton,2020,2h 40m,PG-13,8.3, (128K)
130. Taxi Driver,1976,1h 54m,R,8.2, (981K)
131. Green Book,2018,2h 10m,PG-13,8.2, (638K)
132. Batman Begins,2005,2h 20m,PG-13,8.2, (1.6M)
133. The Truman Show,1998,1h 43m,PG,8.2, (1.3M)
134. For a Few Dollars More,1965,2h 12m,R,8.2, (289K)
135. Judgment at Nuremberg,1961,2h 59m,Approved,8.3, (92K)
136. Some Like It Hot,1959,2h 1m,Approved,8.2, (296K)
137. Shutter Island,2010,2h 18m,R,8.2, (1.6M)
138. The Kid,1921,1h 8m,Passed,8.2, (141K)
139. The Father,2020,1h 37m,PG-13,8.2, (214K)
140. All About Eve,1950,2h 18m,Approved,8.2, (145K)
141. Jurassic Park,1993,2h 7m,PG-13,8.2, (1.1M)
142. There Will Be Blood,2007,2h 38m,R,8.2, (672K)
143. The Sixth Sense,1999,1h 47m,PG-13,8.2, (1.1M)
144. Casino,1995,2h 58m,R,8.2, (594K)
145. Ran,1985,2h 40m,R,8.2, (144K)
146. Top Gun: Maverick,2022,2h 10m,PG-13,8.2, (779K)
147. No Country for Old Men,2007,2h 2m,R,8.2, (1.1M)
148. The Thing,1982,1h 49m,R,8.2, (500K)
149. Pan's Labyrinth,2006,1h 58m,R,8.2, (726K)
150. Unforgiven,1992,2h 10m,R,8.2, (455K)
151. A Beautiful Mind,2001,2h 15m,PG-13,8.2, (1M)
152. Kill Bill: Vol. 1,2003,1h 51m,R,8.2, (1.3M)
153. The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2, (138K)
154. Prisoners,2013,2h 33m,R,8.2, (874K)
155. Yojimbo,1961,1h 50m,Not Rated,8.2, (138K)
156. Finding Nemo,2003,1h 40m,G,8.2, (1.2M)
157. Howl's Moving Castle,2004,1h 59m,PG,8.2, (484K)
158. The Great Escape,1963,2h 52m,Approved,8.2, (269K)
159. Monty Python and the Holy Grail,1975,1h 31m,PG,8.2, (589K)
160. The Elephant Man,1980,2h 4m,PG,8.2, (273K)
161. Dial M for Murder,1954,1h 45m,PG,8.2, (198K)
162. Klaus,2019,1h 36m,PG,8.2, (215K)
163. Gone with the Wind,1939,3h 58m,G,8.2, (347K)
164. Rashomon,1950,1h 28m,Not Rated,8.2, (190K)
165. Chinatown,1974,2h 10m,R,8.1, (366K)
166. The Secret in Their Eyes,2009,2h 9m,R,8.2, (233K)
"167. Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1, (636K)
168. V for Vendetta,2005,2h 12m,R,8.1, (1.2M)
169. Inside Out,2015,1h 35m,PG,8.1, (869K)
"170. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1, (584K)
171. The Bridge on the River Kwai,1957,2h 41m,PG,8.1, (242K)
172. Trainspotting,1996,1h 33m,R,8.1, (750K)
173. Catch Me If You Can,2002,2h 21m,PG-13,8.1, (1.2M)
174. Raging Bull,1980,2h 9m,R,8.1, (396K)
175. The Wild Robot,2024,1h 42m,PG,8.2, (173K)
176. Fargo,1996,1h 38m,R,8.1, (758K)
177. Warrior,2011,2h 20m,PG-13,8.1, (515K)
178. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1, (999K)
179. Gran Torino,2008,1h 56m,R,8.1, (840K)
180. Million Dollar Baby,2004,2h 12m,PG-13,8.1, (747K)
181. Ben-Hur,1959,3h 32m,G,8.1, (264K)
182. Mad Max: Fury Road,2015,2h,R,8.1, (1.2M)
183. My Neighbor Totoro,1988,1h 26m,G,8.1, (409K)
184. Barry Lyndon,1975,3h 5m,PG,8.1, (194K)
185. Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2, (954K)
186. Dead Poets Society,1989,2h 8m,PG,8.1, (593K)
187. Children of Heaven,1997,1h 29m,PG,8.2, (86K)
188. 12 Years a Slave,2013,2h 14m,R,8.1, (766K)
189. The Grand Budapest Hotel,2014,1h 39m,R,8.1, (928K)
190. Before Sunrise,1995,1h 41m,R,8.1, (360K)
191. Hacksaw Ridge,2016,2h 19m,R,8.1, (639K)
192. Blade Runner,1982,1h 57m,R,8.1, (855K)
193. Gone Girl,2014,2h 29m,R,8.1, (1.1M)
194. Memories of Murder,2003,2h 12m,Not Rated,8.1, (242K)
195. Ratatouille,2007,1h 51m,G,8.1, (888K)
"196. Monsters, Inc.",2001,1h 32m,G,8.1, (1M)
197. In the Name of the Father,1993,2h 13m,R,8.1, (196K)
198. How to Train Your Dragon,2010,1h 38m,PG,8.1, (846K)
199. Wild Tales,2014,2h 2m,R,8.1, (229K)
200. The Gold Rush,1925,1h 35m,Approved,8.1, (124K)
201. Sherlock Jr.,1924,45m,Passed,8.2, (62K)
202. Jaws,1975,2h 4m,PG,8.1, (696K)
203. Mary and Max,2009,1h 32m,Not Rated,8.1, (196K)
204. Ford v Ferrari,2019,2h 32m,PG-13,8.1, (525K)
205. The Deer Hunter,1978,3h 3m,R,8.1, (376K)
206. The General,1926,1h 18m,Passed,8.1, (103K)
207. The Wages of Fear,1953,2h 36m,Not Rated,8.1, (71K)
208. Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1, (126K)
209. On the Waterfront,1954,1h 48m,Approved,8.1, (173K)
210. Wild Strawberries,1957,1h 32m,Not Rated,8.1, (121K)
211. Logan,2017,2h 17m,R,8.1, (891K)
212. Rocky,1976,2h,PG,8.1, (661K)
213. The Third Man,1949,1h 44m,Approved,8.1, (190K)
214. Tokyo Story,1953,2h 17m,Not Rated,8.1, (74K)
215. Spotlight,2015,2h 9m,R,8.1, (520K)
216. The Big Lebowski,1998,1h 57m,R,8.1, (892K)
217. Maharaja,2024,2h 21m,N/A,8.4, (69K)
218. The Terminator,1984,1h 47m,R,8.1, (966K)
219. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1, (1.3M)
220. The Seventh Seal,1957,1h 36m,Not Rated,8.1, (209K)
221. Room,2015,1h 58m,R,8.1, (468K)
222. La haine,1995,1h 38m,Not Rated,8.1, (212K)
223. Jai Bhim,2021,2h 44m,Approved,8.6, (226K)
224. Hotel Rwanda,2004,2h 1m,PG-13,8.1, (384K)
225. Platoon,1986,2h,R,8.1, (457K)
226. The Best Years of Our Lives,1946,2h 50m,Approved,8.1, (75K)
227. Before Sunset,2004,1h 20m,R,8.1, (303K)
228. I'm Still Here,2024,2h 17m,PG-13,8.2, (110K)
229. The Exorcist,1973,2h 2m,R,8.1, (479K)
230. The Sound of Music,1965,2h 52m,G,8.1, (277K)
231. The Passion of Joan of Arc,1928,1h 54m,Passed,8.1, (65K)
232. The Incredibles,2004,1h 55m,PG,8.0, (857K)
233. The Wizard of Oz,1939,1h 42m,G,8.1, (451K)
234. Hachi: A Dog's Tale,2009,1h 33m,G,8.1, (329K)
235. Rush,2013,2h 3m,R,8.1, (536K)
236. Stand by Me,1986,1h 29m,R,8.1, (465K)
237. My Father and My Son,2005,1h 52m,Not Rated,8.2, (98K)
238. Network,1976,2h 1m,R,8.1, (180K)
239. The Iron Giant,1999,1h 26m,PG,8.1, (245K)
240. The Handmaiden,2016,2h 25m,Not Rated,8.1, (189K)
241. A Silent Voice: The Movie,2016,2h 10m,Not Rated,8.1, (122K)
242. The Battle of Algiers,1966,2h 1m,Not Rated,8.1, (71K)
243. To Be or Not to Be,1942,1h 39m,Approved,8.1, (47K)
244. The Grapes of Wrath,1940,2h 9m,Approved,8.1, (105K)
245. Into the Wild,2007,2h 28m,R,8.0, (680K)
246. Groundhog Day,1993,1h 41m,PG,8.0, (717K)
247. The Help,2011,2h 26m,PG-13,8.1, (514K)
248. Amores Perros,2000,2h 34m,R,8.0, (268K)
249. Gangs of Wasseypur,2012,5h 21m,Not Rated,8.2, (108K)
250. Lost Ladies,2023,2h 2m,TV-14,8.3, (52K)
